fear,"Every time I imagine that someone I love or I could contact a  
serious illness, even death.",
anger,"I had been obviously unjustly treated and had no possibility  
of elucidating this.",
sadness,"I think about the short time that we live and relate it to  
the periods of my life I think that I did not use this  
short time.",
disgust,"At a gathering I found myself involuntarily sitting next to two  
people who expressed opinions that I considered very low and  
discriminating.",
shame,"I realized that I was directing the feelings of discontent  
with myself at my partner and this way was trying to put the blame  
on him instead of sorting out my own feeliings.",
guilt,"I feel guilty I realize that I consider material things  
more important than caring for my relatives.  I feel very  
self-centered.",
fear,"When, for the first time I realized the meaning of death.",
anger,"a car is overtaking another and I am forced to drive off the  
road.",
sadness,"I recently thought about the hard work it takes to study, and   
how one wants to try something else.  I read a theoretical  
book in English that I did not understand.",
disgust,I found a bristle in the liver paste tube.,
guilt,"I think that I do not study enough.  After the weekend I  
think that I should have been able to have accomplished  
something during that time.",
fear,"one has arranged to meet someone and that person arrives  
late, in the meantime one starts thinking about all that could  
have gone wrong e.g a traffic accident.",
anger,one is unjustly accused of something one has not done.,
sadness,one's studies seem hopelessly difficult and uninteresting.  ,
disgust,"one finds out that someone you know is not at all like one  
had thought, for instance friends who steal and things like that,  
quite unwarranted.",
shame,"one has been unjust, stupid towards someone else. ",
guilt,one has neglected or been unjust to a good friend.,
neutral,Passing an exam I did not expect to pass.,
fear,"I climbed up a tree to pick apples.  The angle of the ladder  
I was on did not enable me to get high enough.  This implied  
that the ladder was not very stable.",
guilt,excuses are necessary and I get out of doing it myself.,
fear,"my 2 year old son climbed up and sat on the 7th floor  
balcony with his legs hanging out.  He was holding on tightly to  
the upper railing of the balcony but he could have easily lost  
his balance he sat down.",
anger,my partner was attacked and lost three teeth.,
sadness,"I see children on T.V from areas devastated by drought and  
war.",
disgust,I nearly walked on a blindworm and then saw it crawl away.,
guilt,"I experience a sense of guilt as my middle son cannot express  
himself like other children, neither verbally nor in writing.",
neutral,my child was born.,
fear,"It was spring and the ice was melting.  I was far out on a jetty and I poked the ice with a long branch to try and break it.
 The branch went through the ice and I fell in, the water closed  
in over my head.",
anger,"Unjust accusations directed at me and my way of acting, by someone close to me.  ",
disgust,"A drunkard fell, started bleeding and wet himself.  Disgust that  
turned into sadness-unpleasantness.",
shame,"When, as an adult I have been caught lying or behaving badly.",
guilt,"I am in an environment or with a person much worse off than  
me, I realize how privileged I am.",
neutral,I saw a person I had not seen for a long time.,
fear,"When, as a child, I was nearly knocked down by a car.",
anger,"I heard on the radio that the football match in Belgium had  
ended in a catastrophe, and several people had died.  I could not  
 understand how normal people could behave in such a way.",
sadness,"I feel lonely, perhaps because I have to study a lot and I  
am shut up in my appartment.  Nothing happens in particular  
because there is no time for anything else.",
disgust,"one learns through the mass media all the wars and killing  
going on in the world.",
shame,"I lied, to be precise I cancelled a meeting with a good friend.",
guilt,one lets friends down,
neutral,I was accepted for a course on finance and accounting.,
fear,"A bus drove over my right leg.  The event itself was not very  
frightening but I had to wait in the emergency ward for  
three hours and then my leg began to swell, I was frightened.",
anger,"At my Summer job, nobody looked after me in particular and I had  
to learn all on my own.",
sadness,I was not accepted as a student in finance and accounting.,
disgust,"I had just moved into my new appartment I found a ventilator  
in the kitchen.  I was going to clean it I found that the  
drum was full of mud and slime.  I felt disgusted.",
guilt,"At my Summer job a new caretaker had been employed who was my age  
 but I preferred going out for lunch with the accounts personnel  
rather than with him.",
neutral,Passed an exam by 2 points.,
fear,"In a cottage in a large forest, I was alone for a while in the  dark.",
sadness,Railway station good-bye.,
disgust,"I saw a cripple in rags with small children in Italy.  He was  
probably an imposter.",
shame,"I told a friend that I was going to a party and he would not  
enneutral himself if he came along.  He understood  that he would not  
have fitted in and there was something in that.",
neutral,I passed an exam that I was absolutely certain that I had failed.,
fear,"On the way back from Denmark with a friend on a small yatch,  
there was a storm and my friend was blown overboard;  I was very  
scared till I managed to get him back onboard.",
anger,I locked myself out.,
sadness,I missed the last tram home and had to walk in the pouring rain.,
disgust,I found some worms in the food and I had obviously eaten some.,
shame,"My friend was so intoxicated that the police came and took him  
away, and they later contacted his parents.",
guilt,I hapened to overhear something which I was not meant to hear.,
neutral,I won a trip to Greece in a competition.,
fear,"I am out in the dark and a suspicious looking character  
comes towards me.",
anger,"At work, an elderly man complained unjustifiably about me and  
distrusted me.",
sadness,I had not understood anything after a lecture.,
disgust,an alcoholic stood dribbling over a food counter.,
shame,"my friend and I were discussing the good looks of a guy we  
realized that he had been listening.",
guilt,"I complained about a colleague to the manager and he told  
her that someone had complained; this colleague came to me  
believing that I liked her.",
fear,"On the way home one Friday night in the heavy rain the car  
acquaplanned.  I lost contact with the road surface for a few  
seconds.",
anger,Mad at my dad.,
sadness,A case of unrequited love.,
disgust,A bad smelling cucumber.,
shame,Nearly caught masturbating.,
guilt,I do not help out enough at home.,
