id	emotion	text
1	fear	"Every time I imagine that someone I love or I could contact a   serious illness, even death."
2	anger	I had been obviously unjustly treated and had no possibility   of elucidating this.
3	sadness	I think about the short time that we live and relate it to   the periods of my life I think that I did not use this   short time.
4	disgust	At a gathering I found myself involuntarily sitting next to two   people who expressed opinions that I considered very low and   discriminating.
5	shame	I realized that I was directing the feelings of discontent   with myself at my partner and this way was trying to put the blame   on him instead of sorting out my own feeliings.
6	guilt	I feel guilty I realize that I consider material things   more important than caring for my relatives.  I feel very   self-centered.
7	fear	"When, for the first time I realized the meaning of death."
8	anger	a car is overtaking another and I am forced to drive off the   road.
9	sadness	"I recently thought about the hard work it takes to study, and    how one wants to try something else.  I read a theoretical   book in English that I did not understand."
10	disgust	I found a bristle in the liver paste tube.
11	guilt	I think that I do not study enough.  After the weekend I   think that I should have been able to have accomplished   something during that time.
12	fear	"one has arranged to meet someone and that person arrives   late, in the meantime one starts thinking about all that could   have gone wrong e.g a traffic accident."
13	anger	one is unjustly accused of something one has not done.
14	sadness	one's studies seem hopelessly difficult and uninteresting.  
15	disgust	"one finds out that someone you know is not at all like one   had thought, for instance friends who steal and things like that,   quite unwarranted."
16	shame	"one has been unjust, stupid towards someone else. "
17	guilt	one has neglected or been unjust to a good friend.
18	neutral	Passing an exam I did not expect to pass.
19	fear	I climbed up a tree to pick apples.  The angle of the ladder   I was on did not enable me to get high enough.  This implied   that the ladder was not very stable.
20	guilt	excuses are necessary and I get out of doing it myself.
21	fear	my 2 year old son climbed up and sat on the 7th floor   balcony with his legs hanging out.  He was holding on tightly to   the upper railing of the balcony but he could have easily lost   his balance he sat down.
22	anger	my partner was attacked and lost three teeth.
23	sadness	I see children on T.V from areas devastated by drought and   war.
24	disgust	I nearly walked on a blindworm and then saw it crawl away.
25	guilt	"I experience a sense of guilt as my middle son cannot express   himself like other children, neither verbally nor in writing."
26	neutral	my child was born.
27	fear	"It was spring and the ice was melting.  I was far out on a jetty and I poked the ice with a long branch to try and break it.  The branch went through the ice and I fell in, the water closed   in over my head."
28	anger	"Unjust accusations directed at me and my way of acting, by someone close to me.  "
29	disgust	"A drunkard fell, started bleeding and wet himself.  Disgust that   turned into sadness-unpleasantness."
30	shame	"When, as an adult I have been caught lying or behaving badly."
31	guilt	"I am in an environment or with a person much worse off than   me, I realize how privileged I am."
32	neutral	I saw a person I had not seen for a long time.
33	fear	"When, as a child, I was nearly knocked down by a car."
34	anger	"I heard on the radio that the football match in Belgium had   ended in a catastrophe, and several people had died.  I could not    understand how normal people could behave in such a way."
35	sadness	"I feel lonely, perhaps because I have to study a lot and I   am shut up in my appartment.  Nothing happens in particular   because there is no time for anything else."
36	disgust	one learns through the mass media all the wars and killing   going on in the world.
37	shame	"I lied, to be precise I cancelled a meeting with a good friend."
38	guilt	one lets friends down
39	neutral	I was accepted for a course on finance and accounting.
